31,812-21-9978,Leah Ambrogini,Female,1961-02-03,59,(876) 6556962,Wardboy,5,Cardiology,11,Operating Theater
32,324-29-7148,Amandy Pickavant,Female,1969-12-26,50,(463) 7879414,Wardboy,5,Ear nose and throat,12,Operating Theater
33,126-50-6277,Emmit Brackpool,Male,1978-11-18,41,(491) 6682384,Nurse,5,Cardiology,13,Operating Theater
34,236-27-4359,Ellsworth Culwen,Male,1972-09-16,47,(821) 8788823,Nurse,5,Anaesthetics,14,Operating Theater
35,890-83-2019,Corey Broggio,Male,1971-08-30,48,(985) 2399276,Nurse,4,Neurology,15,Operating Theater
36,536-93-6414,Dorita Marthen,Female,1976-03-01,44,(405) 7245781,Nurse,2,Ear nose and throat,16,Operating Theater
37,767-41-3677,Hinda Statter,Female,1990-06-22,29,(157) 9830531,Wardboy,4,Neurology,17,Operating Theater
38,336-38-9441,Sallyanne Schole,Female,1969-03-12,51,(654) 5187292,Doctor,4,Cardiology,18,Operating Theater
39,520-64-5863,Fancie Hamson,Female,1983-03-19,37,(323) 1118547,Wardboy,4,Ear nose and throat,19,Operating Theater
40,707-15-9007,Tani Peepall,Female,1975-10-25,44,(462) 5771480,Nurse,4,Cardiology,20,Operating Theater
41,392-31-1706,Lemmy Oxtiby,Male,1985-08-21,34,(196) 8485643,Doctor,4,Anaesthetics,1,ICU
42,483-82-3682,Abbott Reddish,Male,1964-08-15,55,(608) 6167614,Doctor,2,Neurology,2,ICU
43,446-42-9849,Myranda Wyrall,Female,1985-04-26,35,(975) 3138752,Nurse,2,Anaesthetics,3,ICU
44,601-89-6032,Giovanni Inde,Male,1963-12-29,56,(310) 7328763,Nurse,3,Cardiology,4,ICU
45,416-42-0702,Wynn Pietruszewicz,Male,1984-06-13,35,(970) 3457087,Wardboy,2,Neurology,5,ICU
46,376-74-5751,Rodie Howle,Female,1976-04-10,44,(201) 2897041,Wardboy,4,Cardiology,6,ICU
47,224-05-5519,Muriel Moncur,Female,1987-01-27,33,(166) 1130103,Nurse,5,Cardiology,7,ICU
48,411-94-8339,Padget Wyman,Male,1974-07-04,45,(417) 8303139,Doctor,5,Anaesthetics,8,ICU
49,457-11-7868,Norean Croke,Female,1976-10-23,43,(845) 7611286,Doctor,5,Cardiology,9,ICU
50,574-52-8381,Gerhardine Mouget,Female,1997-04-06,23,(693) 2085219,Nurse,5,Anaesthetics,10,ICU
